00:14:bf:eb:81:5d,00:22:b0:68:05:36,02:2c:2c:36:bb:34,20:c9:d0:aa:22:68,20:c9:d0:aa:22:69,22:e2:30:f4:40:5d,34:fc:b9:ee:20:20,34:fc:b9:ee:20:21,34:fc:b9:ee:da:a0,34:fc:b9:ee:da:a1,34:fc:b9:ee:da:b0,34:fc:b9:ee:da:b1,38:72:c0:47:8a:af,38:d5:47:73:ef:f8,38:d5:47:73:ef:fc,40:b0:34:b2:2c:a2,40:e3:d6:b1:b2:c0,40:e3:d6:b1:b2:c1,40:e3:d6:b1:b2:d0,40:e3:d6:b1:b2:d1,40:e3:d6:b2:47:40,40:e3:d6:b2:47:41,40:e3:d6:b2:47:50,40:e3:d6:b2:47:51,40:e3:d6:b2:49:a0,40:e3:d6:b2:49:a1,40:e3:d6:b2:49:b0,40:e3:d6:b2:49:b1,40:e3:d6:b2:4d:40,40:e3:d6:b2:4d:41,40:e3:d6:b2:4d:50,40:e3:d6:b2:4d:51,40:e3:d6:b2:54:20,40:e3:d6:b2:54:21,40:e3:d6:b2:54:23,40:e3:d6:b2:54:30,40:e3:d6:b2:54:31,40:e3:d6:b2:54:33,54:b8:0a:12:e7:ae,60:e3:27:be:73:bc,6a:14:01:38:a9:9f,90:94:e4:3d:43:98,_id,a8:bd:27:6a:a5:c0,a8:bd:27:6a:a5:c1,a8:bd:27:6a:a5:d0,a8:bd:27:6a:a5:d1,a8:bd:27:6a:a8:e0,a8:bd:27:6a:a8:e1,a8:bd:27:6a:a8:f0,a8:bd:27:6a:a8:f1,a8:bd:27:6a:b5:40,a8:bd:27:6a:b5:41,a8:bd:27:6a:b5:50,a8:bd:27:6a:b5:51,a8:bd:27:6a:c1:c0,a8:bd:27:6a:c1:c1,a8:bd:27:6a:c1:d0,a8:bd:27:6a:c1:d1,a8:bd:27:6a:c6:60,a8:bd:27:6a:c6:61,a8:bd:27:6a:c6:70,a8:bd:27:6a:c6:71,ac:a3:1e:df:0a:60,ac:a3:1e:df:0a:61,ac:a3:1e:df:0a:70,ac:a3:1e:df:0a:71,ac:a3:1e:df:3b:40,ac:a3:1e:df:3b:41,ac:a3:1e:df:43:20,ac:a3:1e:df:43:21,ac:a3:1e:df:43:30,ac:a3:1e:df:43:31,ac:a3:1e:df:46:20,ac:a3:1e:df:46:21,e4:8d:8c:9d:a2:ca,f4:f2:6d:c4:fc:72,lat,lng,waypoint_id
-74.0,-86.0,,-78,-74,-80.0,,,-87.0,-88.0,-67.0,-67.0,,,-88.0,,,,,,-62.0,-70.0,-42,,-89.0,,,,-75.0,-75.0,-64.0,-65.0,-81.0,-92.0,-87.0,,,,,-75.0,-90.0,-82.0,5af9b2901a6fb40ea5949f5c,,,,,-85.0,,-62.0,,,,,,-72.0,-69.0,-68.0,-68.0,-78.0,-77.0,-76,-76,-85.0,-86.0,,,,,-93.0,-91.0,,,,,-88.0,-69,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-74.0,-86.0,,-78,-74,-80.0,,,-87.0,-88.0,-67.0,-67.0,,,-88.0,,,,,,-62.0,-70.0,-42,,-89.0,,,,-75.0,-75.0,-64.0,-65.0,-81.0,-92.0,-87.0,,,,,-75.0,-90.0,-82.0,5af9b2911a6fb40ea5949f5d,,,,,-85.0,,-62.0,,,,,,-72.0,-69.0,-68.0,-68.0,-78.0,-77.0,-76,-76,-85.0,-86.0,,,,,-93.0,-91.0,,,,,-88.0,-69,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-69.0,-86.0,,-79,-71,-75.0,,,,,-73.0,-73.0,,,-88.0,,,,,,-59.0,,-40,,-89.0,,,,-75.0,-75.0,-59.0,-60.0,-81.0,-88.0,-88.0,,,-87.0,,-87.0,-85.0,-84.0,5af9b2921a6fb40ea5949f5e,,,,,-81.0,,-56.0,,,,,,-72.0,,-79.0,-79.0,-78.0,-77.0,-76,-76,,,,,,,,,,,,,-88.0,-76,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-69.0,-86.0,,-79,-71,-75.0,,,,,-73.0,-73.0,,,-88.0,,,,,,-59.0,,-40,,-89.0,,,,-75.0,-75.0,-59.0,-60.0,-81.0,-88.0,-88.0,,,-87.0,,-87.0,-85.0,-84.0,5af9b2941a6fb40ea5949f5f,,,,,-81.0,,-56.0,,,,,,-72.0,,-79.0,-79.0,-78.0,-77.0,-76,-76,,,,,,,,,,,,,-88.0,-76,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-70.0,-82.0,,-84,-70,-81.0,,,,,-70.0,-70.0,,,-87.0,,,,,,-56.0,,-39,,,,,,-78.0,-78.0,-56.0,-56.0,-81.0,-88.0,-88.0,,,-87.0,,-89.0,-85.0,-83.0,5af9b2951a6fb40ea5949f60,,,,,-81.0,,-59.0,,,,,,,,-70.0,-70.0,-82.0,-77.0,-76,-77,,,,,,,,,,,,,-81.0,-77,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-70.0,-82.0,,-84,-70,-81.0,,,,,-70.0,-70.0,,,-87.0,,,,,,-56.0,,-39,,,,,,-78.0,-78.0,-56.0,-56.0,-81.0,-88.0,-88.0,,,-87.0,,-89.0,-85.0,-83.0,5af9b2961a6fb40ea5949f61,,,,,-81.0,,-59.0,,,,,,,,-70.0,-70.0,-82.0,-77.0,-76,-77,,,,,,,,,,,,,-81.0,-77,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-70.0,-82.0,,-84,-70,-81.0,,,,,-70.0,-70.0,,,-87.0,,,,,,-56.0,,-39,,,,,,-78.0,-78.0,-56.0,-56.0,-81.0,-88.0,-88.0,,,-87.0,,-89.0,-85.0,-83.0,5af9b2981a6fb40ea5949f62,,,,,-81.0,,-59.0,,,,,,,,-70.0,-70.0,-82.0,-77.0,-76,-77,,,,,,,,,,,,,-81.0,-77,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-68.0,-80.0,,-85,-69,-81.0,,,,,-71.0,-71.0,,,-87.0,,,,,,-53.0,-54.0,-40,,,,,,-78.0,-78.0,-58.0,-58.0,-81.0,-88.0,-88.0,,,-87.0,,-89.0,-90.0,-83.0,5af9b2991a6fb40ea5949f63,,,,,-86.0,-85.0,-60.0,,,,,,,,-70.0,-70.0,-82.0,-82.0,-79,-79,,,,,,,,,,,,,-81.0,-78,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-68.0,-80.0,,-85,-69,-81.0,,,,,-71.0,-71.0,,,-87.0,,,,,,-53.0,-54.0,-40,,,,,,-78.0,-78.0,-58.0,-58.0,-81.0,-88.0,-88.0,,,-87.0,,-89.0,-90.0,-83.0,5af9b29b1a6fb40ea5949f64,,,,,-86.0,-85.0,-60.0,,,,,,,,-70.0,-70.0,-82.0,-82.0,-79,-79,,,,,,,,,,,,,-81.0,-78,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-68.0,-75.0,,-89,-70,-81.0,,,,,-73.0,-73.0,,,-87.0,,,,,,-55.0,-54.0,-39,,,,,,-78.0,-76.0,-57.0,-57.0,,-88.0,-88.0,,,-87.0,,-89.0,-87.0,-83.0,5af9b29f1a6fb40ea5949f65,,,,,-86.0,-85.0,-59.0,,,,,,-80.0,-79.0,-71.0,-72.0,-82.0,-82.0,-77,-77,,-86.0,,,,,,,,,,,-81.0,-78,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-68.0,-81.0,,-79,-73,-81.0,,,,,-71.0,-71.0,,,-87.0,,,,,,-56.0,-55.0,-42,,,,,,-78.0,-76.0,-64.0,-64.0,,,,,,,,-89.0,-87.0,-83.0,5af9b2a11a6fb40ea5949f66,,,,,-77.0,-78.0,-59.0,,,,,,-80.0,-79.0,-71.0,-72.0,-82.0,-82.0,-73,-73,,-86.0,,,,,,,,,,,-81.0,-79,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-68.0,-81.0,,-79,-73,-81.0,,,,,-71.0,-71.0,,,-87.0,,,,,,-56.0,-55.0,-42,,,,,,-78.0,-76.0,-64.0,-64.0,,,,,,,,-89.0,-87.0,-83.0,5af9b2a31a6fb40ea5949f67,,,,,-77.0,-78.0,-59.0,,,,,,-80.0,-79.0,-71.0,-72.0,-82.0,-82.0,-73,-73,,-86.0,,,,,,,,,,,-81.0,-79,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-66.0,-81.0,,-76,-72,-76.0,,,,,-76.0,-77.0,,,-87.0,-90.0,,,,,-58.0,-55.0,-40,,-79.0,,,,-73.0,-72.0,-56.0,-56.0,,,,-83.0,-84.0,,,-77.0,-86.0,-83.0,5af9b2a41a6fb40ea5949f68,,,,,-77.0,-78.0,-62.0,,,,,,-80.0,-79.0,-72.0,-72.0,,-82.0,-76,-76,,-86.0,,,,,,,,,,,-83.0,-77,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-66.0,-81.0,,-76,-72,-76.0,,,,,-76.0,-77.0,,,-87.0,-90.0,,,,,-58.0,-55.0,-40,,-79.0,,,,-73.0,-72.0,-56.0,-56.0,,,,-83.0,-84.0,,,-77.0,-86.0,-83.0,5af9b2a41a6fb40ea5949f69,,,,,-77.0,-78.0,-62.0,,,,,,-80.0,-79.0,-72.0,-72.0,,-82.0,-76,-76,,-86.0,,,,,,,,,,,-83.0,-77,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-73.0,-79.0,,-83,-76,-76.0,,,,,-72.0,-72.0,-86.0,,-87.0,-86.0,,,,,-55.0,-55.0,-41,,-81.0,-81.0,,,-73.0,-72.0,-65.0,-65.0,,,,-83.0,-84.0,,,-84.0,-86.0,-83.0,5af9b2a71a6fb40ea5949f6a,,,,,-74.0,-73.0,-60.0,,,,,,-82.0,-79.0,-73.0,-73.0,-88.0,-89.0,-75,-74,,-86.0,,,,,,,,,,,-81.0,-81,39.47899607728265,-6.342112384736538,5af9b28f1a6fb40ea5949f5a
-65.0,-80.0,,-72,-64,-78.0,,,,-86.0,-67.0,-67.0,-86.0,,-87.0,-86.0,,,,,-58.0,-57.0,-37,,-82.0,-83.0,,,-72.0,-71.0,-58.0,-59.0,,,,,,,,-85.0,-85.0,-82.0,5af9b2b11a6fb40ea5949f6c,,,,,-75.0,-76.0,-60.0,,,,,,-82.0,,-72.0,-71.0,-84.0,-85.0,-78,-77,,,,,,,,,,,,,-81.0,-84,39.47895130738309,-6.342148594558239,5af9b2b11a6fb40ea5949f6b
-65.0,-80.0,,-72,-64,-78.0,,,,-86.0,-67.0,-67.0,-86.0,,-87.0,-86.0,,,,,-58.0,-57.0,-37,,-82.0,-83.0,,,-72.0,-71.0,-58.0,-59.0,,,,,,,,-85.0,-85.0,-82.0,5af9b2b21a6fb40ea5949f6d,,,,,-75.0,-76.0,-60.0,,,,,,-82.0,,-72.0,-71.0,-84.0,-85.0,-78,-77,,,,,,,,,,,,,-81.0,-84,39.47895130738309,-6.342148594558239,5af9b2b11a6fb40ea5949f6b
-65.0,-80.0,,-72,-64,-78.0,,,,-86.0,-67.0,-67.0,-86.0,,-87.0,-86.0,,,,,-58.0,-57.0,-37,,-82.0,-83.0,,,-72.0,-71.0,-58.0,-59.0,,,,,,,,-85.0,-85.0,-82.0,5af9b2b31a6fb40ea5949f6e,,,,,-75.0,-76.0,-60.0,,,,,,-82.0,,-72.0,-71.0,-84.0,-85.0,-78,-77,,,,,,,,,,,,,-81.0,-84,39.47895130738309,-6.342148594558239,5af9b2b11a6fb40ea5949f6b
-78.0,-79.0,,-69,-65,-79.0,,,,-86.0,-70.0,-70.0,,,-86.0,-84.0,,,,,-58.0,-57.0,-38,,-82.0,-85.0,,,-65.0,-71.0,-56.0,-56.0,-88.0,-87.0,,,,,,-85.0,-85.0,-83.0,5af9b2b51a6fb40ea5949f6f,,,,,-68.0,-67.0,-66.0,,,,,,,,-81.0,-81.0,-81.0,-82.0,-77,-77,,,,,,,,,,,,,-81.0,-90,39.47895130738309,-6.342148594558239,5af9b2b11a6fb40ea5949f6b
-78.0,-79.0,,-69,-65,-79.0,,,,-86.0,-70.0,-70.0,,,-86.0,-84.0,,,,,-58.0,-57.0,-38,,-82.0,-85.0,,,-65.0,-71.0,-56.0,-56.0,-88.0,-87.0,,,,,,-85.0,-85.0,-83.0,5af9b2b61a6fb40ea5949f70,,,,,-68.0,-67.0,-66.0,,,,,,,,-81.0,-81.0,-81.0,-82.0,-77,-77,,,,,,,,,,,,,-81.0,-90,39.47895130738309,-6.342148594558239,5af9b2b11a6fb40ea5949f6b
